StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,inherentSimilarity,hetereogenous,inductivePotential,internalCause,invented,constructedBoundary,immutability,attentionCheck,age,gender,gender_4_TEXT,race,race_15_TEXT,education,debrief_1,debrief_2,debrief_3,condition,Create New Field or Choose From Dropdown...,cb
2020-02-18 17:15:32,2020-02-18 17:22:48,IP Address,173.109.103.202,100,435,True,2020-02-18 17:22:48,R_2ZJOmaz3b7nx9Aj,,,,,25.7740936279296875,-80.18170166015625,anonymous,EN,I do consent to participate,Slightly Agree,Totally Disagree,Totally Agree,Totally Disagree,Totally Agree,Totally Agree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,28,Male,,White/European American,,Some college,The survey ran smoothly and everything was an easy read for me.,This study investigates whether first impressions about a group of people affects how a participant forms generalizations of the described society.,This survey was constructed very well. Thank you for having me here.,formal,,kindEssentialism
2020-02-18 17:15:58,2020-02-18 17:22:55,IP Address,72.95.213.245,100,416,True,2020-02-18 17:22:55,R_2dTsOiF4MOV999H,,,,,40.404693603515625,-80.0131988525390625,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,35,Female,,White/European American,,"Master's (M.A., M.S.)",Nope.,"Emphasizing individualism within a supposedly homogeneous group in the form of a children's story. ",The illustrated characters on photographic backgrounds were a little off-putting. Maybe just apply some filters to the backgrounds to make them look illustrated as well if you don't have the time to draw them out.,control,,kindEssentialism
2020-02-18 17:18:50,2020-02-18 17:23:10,IP Address,186.65.118.237,100,259,True,2020-02-18 17:23:10,R_1Qn4zr8WiCcq4Y4,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,I do consent to participate,Totally Agree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Totally Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,48,Male,,White/European American,,"Bachelor's (B.A., B.S.)",nothing,study about decision making,nothing,control,,kindEssentialism
2020-02-18 17:21:17,2020-02-18 17:23:16,IP Address,72.89.244.50,100,119,True,2020-02-18 17:23:17,R_33CgrUIl1ylMYrv,,,,,40.5977935791015625,-74.00009918212890625,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Slightly Agree,Mostly Agree,Totally Agree,Mostly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,39,Male,,Latino/Latina,,"Bachelor's (B.A., B.S.)",No,I don't know,,control,,kindEssentialism
2020-02-18 17:19:04,2020-02-18 17:23:17,IP Address,47.33.210.132,100,252,True,2020-02-18 17:23:17,R_2zhYy7FaNUYv7nq,,,,,43.605499267578125,-84.77960205078125,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Slightly Disagree,Mostly Agree,Totally Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,57,Female,,White/European American,,Some college,no,Our perceptions of fictional characters characteristics derived from our ideas about people?,no,generic,,essentialismKind
2020-02-18 17:20:22,2020-02-18 17:23:40,IP Address,172.111.201.191,100,198,True,2020-02-18 17:23:41,R_3NTYamux7TosaA0,,,,,38.8939056396484375,-77.0364990234375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,26,Female,,White/European American,,"Bachelor's (B.A., B.S.)",,,,formal,,essentialismKind
2020-02-18 17:19:51,2020-02-18 17:23:42,IP Address,98.165.145.204,100,230,True,2020-02-18 17:23:42,R_11hC7WzD52X6DxB,,,,,33.3874969482421875,-111.85070037841796875,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Agree,Mostly Agree,Mostly Agree,Totally Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,35,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no,not sure,no,control,,essentialismKind
2020-02-18 17:15:49,2020-02-18 17:23:54,IP Address,67.85.86.64,100,485,True,2020-02-18 17:23:54,R_2Yib7NZ2jxwsVq1,,,,,40.854705810546875,-73.9217987060546875,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Totally Agree,Mostly Agree,Mostly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,50,Male,,Latino/Latina,,Some college,No,Perceptions of zarpies living on an island.,,generic,,kindEssentialism
2020-02-18 17:18:08,2020-02-18 17:23:54,IP Address,38.146.55.124,100,346,True,2020-02-18 17:23:54,R_sHGqUGV90dfz6aR,,,,,42.3610992431640625,-71.0518035888671875,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Agree,Slightly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,45,Female,,White/European American,,Some college,no,children's story,no,formal,,essentialismKind
2020-02-18 17:21:20,2020-02-18 17:24:02,IP Address,73.26.185.245,100,161,True,2020-02-18 17:24:02,R_2xPgz8PisTDduv9,,,,,32.3224029541015625,-106.80410003662109375,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Slightly Agree,Totally Disagree,Totally Agree,Totally Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,56,Female,,White/European American,,"Bachelor's (B.A., B.S.)",it was clear,Peoples' perceptions of others,no,generic,,essentialismKind
2020-02-18 17:19:03,2020-02-18 17:24:33,IP Address,186.65.115.159,100,329,True,2020-02-18 17:24:33,R_1BSdumOehK4qmre,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Agree,Totally Agree,Mostly Agree,Mostly Agree,Mostly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,64,Male,,White/European American,,"Master's (M.A., M.S.)","No, it's interesting one to do  i like to do the follow up surveys please invite me for the future studies ",It's about a new world,"Make more follow up studies ",generic,,kindEssentialism
2020-02-18 17:21:14,2020-02-18 17:24:40,IP Address,174.106.150.72,100,205,True,2020-02-18 17:24:40,R_3h4qn2bJNZOQMpw,,,,,34.4344024658203125,-77.92340087890625,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Totally Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,50,Female,,White/European American,,"Bachelor's (B.A., B.S.)","No, everything is great",To see how we would distinguish between differences in people.,No,formal,,essentialismKind
2020-02-18 17:16:47,2020-02-18 17:24:44,IP Address,67.11.160.144,100,476,True,2020-02-18 17:24:44,R_2q8DkIVvsEskIQG,,,,,29.5211029052734375,-98.3292999267578125,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Mostly Disagree,Slightly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,38,Male,,Latino/Latina,,"Bachelor's (B.A., B.S.)",no,about zarpies,nothing,control,,kindEssentialism
2020-02-18 17:22:56,2020-02-18 17:24:47,IP Address,66.108.192.193,100,110,True,2020-02-18 17:24:47,R_3PvI90a6z68Djfd,,,,,40.694000244140625,-73.82199859619140625,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Mostly Agree,Mostly Agree,Totally Agree,Mostly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,37,Female,,Asian/Asian American,,"Bachelor's (B.A., B.S.)",no,race relations,nothing,generic,,essentialismKind
2020-02-18 17:17:10,2020-02-18 17:25:00,IP Address,181.177.84.128,100,469,True,2020-02-18 17:25:00,R_2S7BhNIM8yDovjo,,,,,40.7064056396484375,-73.94730377197265625,anonymous,EN,I do consent to participate,Totally Agree,Mostly Agree,Mostly Agree,Mostly Agree,Totally Agree,Slightly Agree,Mostly Agree,Translating the language of Zarpies into English,49,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no confusing,it is easy study,thanks given this survey,formal,,kindEssentialism
2020-02-18 17:22:54,2020-02-18 17:25:33,IP Address,70.177.71.8,100,158,True,2020-02-18 17:25:33,R_2WZH6Q5hYa2MkBd,,,,,36.1284027099609375,-95.8668975830078125,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Slightly Agree,Totally Agree,Totally Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,26,Male,,White/European American,,High school/GED,no,not sure,nope,generic,,kindEssentialism
2020-02-18 17:23:59,2020-02-18 17:26:29,IP Address,12.185.249.140,100,149,True,2020-02-18 17:26:29,R_3oQRt79dqWb62Rd,,,,,32.8983001708984375,-96.1260986328125,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Agree,Mostly Disagree,Totally Disagree,Totally Agree,Totally Agree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,26,Male,,White/European American,,High school/GED,No,Studying how people make impressions.,"I don't know, it was pretty good.",control,,essentialismKind
2020-02-18 17:21:41,2020-02-18 17:26:30,IP Address,212.103.49.165,100,288,True,2020-02-18 17:26:30,R_2QmRxCVfenx4QxI,,,,,34.054901123046875,-118.2577972412109375,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Agree,Mostly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,27,Male,,White/European American,,"Bachelor's (B.A., B.S.)",n/a,to know more about zarpie,n/a,formal,,essentialismKind
2020-02-18 17:19:43,2020-02-18 17:26:47,IP Address,174.194.27.0,100,424,True,2020-02-18 17:26:47,R_1JW59IlbjyWIf5T,,,,,35.2368927001953125,-80.89569854736328125,anonymous,EN,I do consent to participate,Slightly Disagree,Totally Agree,Totally Disagree,Slightly Disagree,Totally Agree,Totally Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,47,Male,,Black/African American,,Some college,No,How adults react to children's cartoon characters,No,control,,essentialismKind
2020-02-18 17:24:54,2020-02-18 17:27:17,IP Address,35.142.197.252,100,142,True,2020-02-18 17:27:17,R_3FR7P6dfqWkfjvD,,,,,28.143096923828125,-82.68470001220703125,anonymous,EN,I do consent to participate,Mostly Agree,Totally Agree,Mostly Agree,Mostly Agree,Totally Agree,Slightly Agree,Mostly Agree,Writing an essay about the political views of Zarpies,28,Female,,Latino/Latina,,"Bachelor's (B.A., B.S.)",NO,"Children ","Nothing ",control,,kindEssentialism
2020-02-18 17:26:36,2020-02-18 17:28:44,IP Address,99.23.146.214,100,127,True,2020-02-18 17:28:44,R_1MKwmdQ4XjpmhBA,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Slightly Agree,Slightly Disagree,Totally Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,50,Male,,White/European American,,Some college,No.,To observe perceptions.,No.,generic,,essentialismKind
2020-02-18 17:26:20,2020-02-18 17:29:45,IP Address,162.193.202.154,100,204,True,2020-02-18 17:29:45,R_AA49n6PvLxw4gKd,,,,,34.2295989990234375,-80.71469879150390625,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Agree,Slightly Agree,Slightly Agree,Totally Agree,Slightly Disagree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,52,Female,,White/European American,,Some college,no,If we think people can change who they are fundamentally.,none,formal,,essentialismKind
2020-02-18 17:27:23,2020-02-18 17:29:52,IP Address,97.84.60.167,100,149,True,2020-02-18 17:29:53,R_1giO4D3lIRR2xmi,,,,,34.1757965087890625,-86.82900238037109375,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,23,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,identifying a group of people,no,formal,,kindEssentialism
2020-02-18 17:24:00,2020-02-18 17:30:57,IP Address,99.42.41.84,100,417,True,2020-02-18 17:30:58,R_1mJxRjlGLvtRk7N,,,,,30.0735931396484375,-95.62030029296875,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,35,Male,,"White/European American,Click to write Choice 8",,Some college,None,I am not sure what this study was about.,None,generic,,kindEssentialism
2020-02-18 17:26:57,2020-02-18 17:31:14,IP Address,68.7.220.62,100,257,True,2020-02-18 17:31:15,R_1pR1wCxCWiaITQd,,,,,32.791595458984375,-116.97100067138671875,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,33,Male,,White/European American,,"Bachelor's (B.A., B.S.)",Nope it was clear,Something involving racial bias,Nope it was well made,generic,,kindEssentialism
2020-02-18 17:30:18,2020-02-18 17:31:25,IP Address,107.2.147.26,100,66,True,2020-02-18 17:31:25,R_1j9rKxCP7DVTgMr,,,,,39.641998291015625,-104.8957977294921875,anonymous,EN,I do consent to participate,Totally Disagree,Totally Disagree,Totally Disagree,Totally Disagree,Totally Agree,Totally Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,26,Male,,Black/African American,,"Bachelor's (B.A., B.S.)",no,perception,no,formal,,essentialismKind
2020-02-18 17:28:40,2020-02-18 17:31:47,IP Address,8.38.226.127,100,187,True,2020-02-18 17:31:48,R_1OYL5BaAiPeAWbs,,,,,36.5276031494140625,-93.9358978271484375,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Totally Agree,Totally Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,55,Male,,White/European American,,Less than high school,No,What makes zarpy's different.,None,control,,essentialismKind
2020-02-18 17:24:18,2020-02-18 17:31:56,IP Address,64.127.129.34,100,458,True,2020-02-18 17:31:57,R_9Ex0NYd4nBe0u41,,,,,36.72540283203125,-86.56999969482421875,anonymous,EN,I do consent to participate,Totally Agree,Slightly Disagree,Mostly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,37,Female,,Click to write Choice 7,,Some college,no,about children story study.,none,formal,,kindEssentialism
2020-02-18 17:20:17,2020-02-18 17:33:22,IP Address,67.247.68.1,100,785,True,2020-02-18 17:33:22,R_2ZDZfXGVTpqcquv,,,,,43.0641937255859375,-74.3339996337890625,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,26,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No. No.,What people think about Zarpies.,No.,generic,,kindEssentialism
2020-02-18 17:16:17,2020-02-18 17:34:01,IP Address,73.223.196.37,100,1063,True,2020-02-18 17:34:02,R_UDWZFe9dMvBe0ox,,,,,37.770294189453125,-122.440704345703125,anonymous,EN,I do consent to participate,Totally Disagree,Totally Agree,Totally Disagree,Totally Disagree,Totally Agree,Totally Agree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,34,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",I did not encounter any problems at all.,I believe that this study is researching how we relate group membership to individual identity and whether we form any prejudice solely based on one's group membership.,I have no suggestions.,control,,essentialismKind
2020-02-18 17:30:47,2020-02-18 17:34:15,IP Address,69.247.208.131,100,208,True,2020-02-18 17:34:15,R_27TBoMMnnQxYifU,,,,,39.01690673828125,-94.31369781494140625,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Mostly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,27,Male,,Black/African American,,High school/GED,no,evaluating the zarpie people,no,control,,kindEssentialism
2020-02-18 17:32:27,2020-02-18 17:34:18,IP Address,98.255.239.86,100,110,True,2020-02-18 17:34:18,R_2CjhHDLKEPN5ryZ,,,,,37.230804443359375,-120.514404296875,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Slightly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,37,Male,,White/European American,,"Bachelor's (B.A., B.S.)",None.,Not sure.,None.,formal,,essentialismKind
2020-02-18 17:32:19,2020-02-18 17:35:37,IP Address,108.233.151.67,100,197,True,2020-02-18 17:35:37,R_3O8oKGdZv6utzrx,,,,,39.3531951904296875,-121.7136993408203125,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Totally Agree,Slightly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,31,Male,,White/European American,,Some college,,,,formal,,essentialismKind
2020-02-18 17:34:52,2020-02-18 17:36:21,IP Address,24.18.153.117,100,89,True,2020-02-18 17:36:21,R_DwQQdZeRZXDg2tj,,,,,47.3235931396484375,-122.318695068359375,anonymous,EN,I do consent to participate,Slightly Agree,Slightly Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,29,Male,,White/European American,,"Bachelor's (B.A., B.S.)",None.,Not a clue.,"No, everything worked fine.",generic,,essentialismKind
2020-02-18 17:35:23,2020-02-18 17:37:52,IP Address,108.30.247.16,100,149,True,2020-02-18 17:37:52,R_3KN04fHTaIFqZDW,,,,,40.7281951904296875,-73.1804962158203125,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Mostly Agree,Mostly Agree,Slightly Agree,Mostly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,28,Male,,White/European American,,High school/GED,I did not,It was about my opinion of Zarpies,I thought it was fine as it was.,generic,,essentialismKind
2020-02-18 17:36:37,2020-02-18 17:39:04,IP Address,73.223.122.249,100,147,True,2020-02-18 17:39:04,R_1hL51Oxyd1FCURd,,,,,37.6786956787109375,-122.1269989013671875,anonymous,EN,I do consent to participate,Slightly Agree,Totally Agree,Mostly Disagree,Slightly Disagree,Totally Agree,Mostly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,25,Female,,Click to write Choice 7,,"Bachelor's (B.A., B.S.)",No.,If we can put any deeper meaning to these superficial characters.,It was fine.,control,,kindEssentialism
2020-02-18 17:35:47,2020-02-18 17:39:30,IP Address,69.201.18.190,100,222,True,2020-02-18 17:39:30,R_1DAXexz3D4qJIx0,,,,,44.9322052001953125,-74.88449859619140625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Disagree,Totally Disagree,Mostly Agree,Mostly Disagree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,19,Male,,White/European American,,Some college,,Zarpies are a metaphor for humans that just because one does something it doesn't mean that they all do.,,formal,,kindEssentialism
2020-02-18 17:34:23,2020-02-18 17:40:09,IP Address,108.66.80.16,100,345,True,2020-02-18 17:40:09,R_3noXZ82sh7IFo9f,,,,,32.6204986572265625,-90.006103515625,anonymous,EN,I do consent to participate,Slightly Disagree,Mostly Agree,Slightly Disagree,Slightly Agree,Totally Agree,Totally Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,56,Female,,Black/African American,,Some college,no,perceptions of others,none,control,,kindEssentialism
2020-02-18 17:35:06,2020-02-18 17:40:26,IP Address,172.101.39.165,100,319,True,2020-02-18 17:40:26,R_ZskYzGZDK8XajUR,,,,,43.6327056884765625,-70.27349853515625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Disagree,Totally Agree,Totally Agree,Mostly Disagree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,41,Male,,"White/European American,Asian/Asian American",,High school/GED,Everything was great.,"I think this study was to learn if even learning of the people, do we still see them the same.",The study was very well done.,generic,,essentialismKind
2020-02-18 17:38:31,2020-02-18 17:41:30,IP Address,196.247.50.132,100,178,True,2020-02-18 17:41:30,R_29iY6exIuY9LWe9,,,,,33.7552947998046875,-84.38860321044921875,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,39,Female,,White/European American,,"Bachelor's (B.A., B.S.)",No,i don't know,NA,control,,essentialismKind
2020-02-18 17:39:29,2020-02-18 17:42:53,IP Address,74.134.152.187,100,203,True,2020-02-18 17:42:53,R_3e7W3uvMC83SQdb,,,,,38.308502197265625,-85.81600189208984375,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Slightly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,62,Female,,White/European American,,"Master's (M.A., M.S.)",no,how we see different groups of people and some of their ways of living,no,generic,,kindEssentialism
2020-02-18 17:40:43,2020-02-18 17:43:24,IP Address,76.22.20.90,100,160,True,2020-02-18 17:43:24,R_3PCd5Tr9n9X5LHi,,,,,47.14349365234375,-122.1678009033203125,anonymous,EN,I do consent to participate,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Totally Agree,Mostly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,27,Male,,White/European American,,High school/GED,No,Perceptions of group traits.,It seemed fine to me.,formal,,essentialismKind
2020-02-18 17:41:51,2020-02-18 17:45:22,IP Address,68.40.247.84,100,210,True,2020-02-18 17:45:23,R_R2CjvwQT3edYUBH,,,,,42.253204345703125,-84.38770294189453125,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Totally Agree,Slightly Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,59,Female,,White/European American,,Some college,Nothing was confusing,How we view people as a whole maybe?,Can't think of anything. It was pretty interesting.,generic,,kindEssentialism
2020-02-18 17:34:39,2020-02-18 17:45:43,IP Address,173.22.23.45,100,663,True,2020-02-18 17:45:43,R_11bAvxBxWqV3Gzj,,,,,31.5791015625,-84.21379852294921875,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Totally Agree,Totally Agree,Totally Agree,Slightly Disagree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,25,Male,,White/European American,,Some college,none,How one views people that are different from themselves.,none,control,,kindEssentialism
2020-02-18 17:44:02,2020-02-18 17:47:24,IP Address,76.218.197.65,100,202,True,2020-02-18 17:47:24,R_2E6MpvyyAdufGIY,,,,,33.753997802734375,-117.8578033447265625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Slightly Disagree,Slightly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,31,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)","No problems, everything was easy to understand.",I think this study is about what people think about other racial groups.,None.,formal,,kindEssentialism
2020-02-18 17:43:13,2020-02-18 17:48:49,IP Address,96.32.19.28,100,336,True,2020-02-18 17:48:49,R_322XlWq1yEG3xmd,,,,,41.8466949462890625,-73.01779937744140625,anonymous,EN,I do consent to participate,Slightly Disagree,Mostly Agree,Mostly Disagree,Totally Disagree,Totally Agree,Totally Agree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,48,Female,,White/European American,,High school/GED,not at all,I wonder if this has to do with race or gender. All of the questions could have been asked about people of a specific race or gender.,Not at all. It all worked fine and was easy to understand.,control,,essentialismKind
2020-02-18 17:46:14,2020-02-18 17:49:45,IP Address,67.221.89.255,100,210,True,2020-02-18 17:49:45,R_31ToDOCfhX7tYVy,,,,,41.8094940185546875,-72.2510986328125,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Agree,Totally Disagree,Mostly Disagree,Mostly Agree,Slightly Disagree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,20,Male,,White/European American,,Some college,No,How characteristics separate populations,N/A,control,,essentialismKind
2020-02-18 17:46:57,2020-02-18 17:53:29,IP Address,98.173.154.50,100,392,True,2020-02-18 17:53:30,R_DtUIJomgvd3Ax7b,,,,,33.1616973876953125,-117.2429046630859375,anonymous,EN,I do consent to participate,Slightly Disagree,Mostly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,29,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",no,how people consume a story,no,generic,,essentialismKind
2020-02-18 17:51:15,2020-02-18 17:54:37,IP Address,73.153.191.15,100,202,True,2020-02-18 17:54:38,R_3qZOTgaunrOD3bA,,,,,39.690399169921875,-105.09870147705078125,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Agree,Mostly Disagree,Totally Disagree,Totally Agree,Totally Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,58,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no,probably race,no,generic,,essentialismKind
2020-02-18 17:52:36,2020-02-18 17:54:55,IP Address,192.200.158.221,100,138,True,2020-02-18 17:54:55,R_zYIzeC960vS5ofn,,,,,33.4412994384765625,-112.0420989990234375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Slightly Disagree,Mostly Agree,Mostly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,31,Male,,White/European American,,"Bachelor's (B.A., B.S.)",,,,formal,,kindEssentialism
2020-02-18 17:55:04,2020-02-18 17:55:08,IP Address,73.17.91.60,100,4,True,2020-02-18 17:55:09,R_PCBiMVNtzNdk1pf,,,,,41.548095703125,-73.00119781494140625,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,
2020-02-18 17:54:51,2020-02-18 17:56:21,IP Address,107.77.236.26,100,89,True,2020-02-18 17:56:21,R_1isoLDEh9xiiKYd,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I do consent to participate,Mostly Agree,Totally Disagree,Slightly Agree,Mostly Agree,Slightly Agree,Mostly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,35,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no,I'm not sure.,No.,generic,,kindEssentialism
2020-02-18 17:52:17,2020-02-18 17:56:50,IP Address,170.10.187.43,100,272,True,2020-02-18 17:56:50,R_2SAMssoxDW6R3F5,,,,,36.183502197265625,-94.17620086669921875,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,39,Male,,Black/African American,,High school/GED,no,How people tend to assess the similarities and differences of a group.,no,control,,essentialismKind
2020-02-18 17:18:36,2020-02-18 17:57:55,IP Address,24.88.233.91,100,2359,True,2020-02-18 17:57:56,R_2f3yEqCXjC5QGpY,,,,,34.9541015625,-78.739501953125,anonymous,EN,I do consent to participate,Totally Disagree,Totally Disagree,Mostly Disagree,Totally Disagree,Totally Agree,Totally Agree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,45,Male,,Black/African American,,Some college,No. No.,Don't know.,N/A,control,,essentialismKind
2020-02-18 17:46:53,2020-02-18 17:58:35,IP Address,68.106.254.178,100,702,True,2020-02-18 17:58:36,R_3JqKPfasLqqmoYc,,,,,31.5402069091796875,-110.266998291015625,anonymous,EN,I do consent to participate,Totally Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Totally Disagree,Mostly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,53,Female,,White/European American,,Some college,No,I don't really know.,None,formal,,kindEssentialism
